year,leaid,district,state_name,stabbr,ppcstot,predcost,fundinggap,outcomegap,enroll,pov,iep,ell,amind,asian,black,hisp,multi,pac,white
2009,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7315.00,8747.00,-1432.00,NULL,6267,0.14148010,0.08265520,0.02393490,0.01568250,0.04928790,0.11233800,0.42342780,NULL,NULL,0.39926390
2010,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7613.00,8218.00,-605.00,NULL,6509,0.13131710,0.06452600,0.01136890,0.01433190,0.04869780,0.11820000,0.42918790,NULL,NULL,0.38958240
2011,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7404.00,9462.00,-2058.00,NULL,6742,0.15169710,0.08276480,0.00519130,0.01292910,0.04800120,0.11130930,0.42576910,0.00445830,0.00089170,0.39664140
2012,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7417.00,9570.00,-2153.00,NULL,6832,0.14696400,0.08562650,0.00805040,0.01101650,0.04582840,0.10252640,0.43537010,0.01424790,0.00235020,0.38866040
2013,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,6883.00,10271.00,-3388.00,NULL,6933,0.14676200,0.09534110,0.00836580,0.00968770,0.04091960,0.10107000,0.44346440,0.02241180,0.00260270,0.37984380
2014,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7062.00,10591.00,-3529.00,NULL,7244,0.13882560,0.10049700,0.00911100,0.01038210,0.03751380,0.10008310,0.44892030,0.02851610,0.00415280,0.37043190
2015,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,6839.00,10785.00,-3946.00,NULL,7542,0.13534870,0.10196230,0.00742510,0.00982870,0.03519720,0.10067740,0.45384510,0.03333780,0.00464870,0.36246510
2016,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7266.00,10702.00,-3436.00,NULL,7629,0.12489030,0.09961990,0.00734040,0.00840230,0.03321520,0.09872650,0.46041750,0.03347770,0.00446370,0.36129710
2017,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7139.00,10558.00,-3419.00,NULL,7788,0.10793330,0.10349260,0.00680530,0.00875270,0.03462480,0.10490410,0.46093450,0.03346630,0.00437640,0.35294120
2018,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7464.00,10410.00,-2946.00,NULL,7780,0.10047960,0.10437020,0.01658100,0.00721090,0.03167650,0.10249810,0.47553440,0.03476690,0.00515070,0.34316250
